doctorName,specialty,StartWorkingDate
Đặng Huyền Thảo,Tiêu hóa - Gan mật,4/10/2018
Lê Huyền Trúc,Tiêu hóa - Gan mật,4/19/2018
Nguyễn Văn Tùng,Tiêu hóa - Gan mật,12/28/2020
Trần Minh Khoa,Tiêu hóa - Gan mật,8/19/2018
Đặng Đức Hùng,Tiêu hóa - Gan mật,1/7/2019
Nguyễn Anh Sơn,Tiêu hóa - Gan mật,9/7/2019
Vũ Đức Sơn,Tiêu hóa - Gan mật,6/26/2024
Nguyễn Huyền Diệp,Tiêu hóa - Gan mật,8/15/2017
Phan Mai Trúc,Tiêu hóa - Gan mật,1/16/2024
Phạm Văn Khoa,Tiêu hóa - Gan mật,12/16/2018
Lê Hữu Hùng,Tiêu hóa - Gan mật,8/14/2016
Vũ Đức Bình,Tiêu hóa - Gan mật,6/4/2023
Vũ Anh Bách,Tai Mũi Họng,2/25/2019
Đặng Thị Vy,Tai Mũi Họng,1/31/2024
Phan Quốc Hùng,Tai Mũi Họng,5/30/2023
Phạm Văn Bách,Tai Mũi Họng,7/31/2021
Nguyễn Văn Tùng,Tai Mũi Họng,8/24/2020
Vũ Thị Diệp,Tai Mũi Họng,9/29/2024
Trần Anh Bách,Tai Mũi Họng,4/10/2016
Phan Quốc Sơn,Tai Mũi Họng,6/25/2021
Trần Huyền Thảo,Tai Mũi Họng,9/4/2017
Vũ Đức Bình,Tai Mũi Họng,7/14/2016
Lê Minh Long,Tai Mũi Họng,11/13/2024
Đặng Văn Tùng,Da liễu,2/3/2024
Trần Ngọc Thảo,Da liễu,7/10/2019
Đặng Anh Khoa,Da liễu,1/22/2023
Lê Đức Long,Da liễu,2/29/2024
Đặng Đức Bách,Da liễu,4/30/2021
Đặng Văn Tuấn,Da liễu,8/15/2023
Hoàng Văn Sơn,Da liễu,9/26/2018
Vũ An Lan,Da liễu,1/1/2021
Phạm Minh Tùng,Da liễu,8/5/2023
Đặng Quỳnh Thảo,Da liễu,2/21/2020
Nguyễn An Thảo,Tim mạch,1/13/2023
Phan Anh Bình,Tim mạch,3/14/2021
Nguyễn Ngọc Diệp,Tim mạch,7/26/2017
Nguyễn Anh Bình,Tim mạch,6/17/2023
Đặng Đức Tùng,Tim mạch,6/27/2019
Vũ Anh Bình,Tim mạch,10/25/2017
Nguyễn Quỳnh Trúc,Tim mạch,4/11/2023
