patientName,address,phoneNumber,insuranceNumber,dateOfBirth,gender,email
Vũ Đức Đức,"57 Cách Mạng Tháng 8, Phường Bình Tây, TP. Hồ Chí Minh",891338908,GD4296825844140,2/19/1968,Male,ducvd68@gmail.com
Ngô Gia Khoa,"142 Lê Lợi, Phường Hiệp Ninh, Tỉnh Tây Ninh",775940781,GD3287995970241,2/3/1991,Male,khoang91@gmail.com
Trần Đức Khôi,"119 Nguyễn Huệ, Phường Bến Thành, TP. Hồ Chí Minh",385255341,GD4299533174566,2/13/1978,Male,khoitd78@gmail.com
Vũ Thị Loan,"150 Cách Mạng Tháng 8, Phường Chợ Quán, TP. Hồ Chí Minh",833767242,GD4291554762903,4/19/1999,Female,loanvt99@gmail.com
Lê Văn Đăng,"197 Hùng Vương, Phường Bàn Cờ, TP. Hồ Chí Minh",786978480,QN1295555540744,11/14/1996,Male,danglv96@gmail.com
Võ Quang Hiếu,"62 Hùng Vương, Phường Xuân Hòa, TP. Hồ Chí Minh",812528809,DN5294067116918,11/10/1998,Male,hieuvq98@gmail.com
Lê Quang Đức,"58 Nguyễn Huệ, Phường Vĩnh Hội, TP. Hồ Chí Minh",376383465,GD1291452066459,9/6/2005,Male,duclq05@gmail.com
Nguyễn Hữu Dũng,"25 Nguyễn Huệ, Phường Nhiêu Lộc, TP. Hồ Chí Minh",767382997,DN4295816663775,6/3/2000,Male,dungnh00@gmail.com
Phạm Thị Nga,"13 Lê Lợi, Phường Phú Cường, TP. Hồ Chí Minh",352624731,GD5293590711152,4/7/1982,Female,ngapt82@gmail.com
Huỳnh Hoàng Thành,"192 Lê Lợi, Phường Sài Gòn, TP. Hồ Chí Minh",784746872,GD3290245522987,1/6/1989,Male,thanhhh89@gmail.com
Huỳnh Thị Quỳnh,"67 Hùng Vương, Phường Bàn Cờ, TP. Hồ Chí Minh",986193990,DN3295320115677,2/20/2007,Female,quynhht07@gmail.com
Đặng Tuyết Loan,"73 Hùng Vương, Phường Quyết Thắng, Tỉnh Đồng Nai",901838425,DN5277316648259,1/15/1983,Female,loandt83@gmail.com
Đặng Hữu Đức,"163 Lê Lợi, Phường Hiệp Bình, TP. Hồ Chí Minh",329353487,DN3290189351213,12/18/1998,Male,ducdh98@gmail.com
Võ Thanh Nhi,"92 Lê Lợi, Phường Xuân Hòa, TP. Hồ Chí Minh",392805982,GD2292929454134,9/1/1988,Female,nhivt88@gmail.com
